keyword,cluster,avg_monthly_searches_au,competition,competition_index,top_of_page_bid_low_aud,top_of_page_bid_high_aud,intent,bush_gums_relevance,affiliate_intent,browse_potential,differentiation,priority_score,notes
cheap hiking gear,B_value,70,HIGH,100,0.39,1.22,commercial,100,85,80,75,69.6,"Cluster primary; merged variants: budget hiking gear, inexpensive hiking gear, cheap hiking equipment, cheap trekking gear (identical planner metrics)"
down sleeping bag australia,E_bags,210,HIGH,100,0.28,1.26,commercial,95,90,50,70,69.3,Best volume-to-fit ratio in the sleep cluster
naturehike sleeping bag,E_bags,320,HIGH,100,0.21,0.70,commercial,85,85,50,80,69.1,"Strong brand demand; Bush Gums stocks a generic 400 g bag, not a Naturehike one"
naturehike cloud up pro,D_tents,30,HIGH,100,0.38,1.58,commercial,100,95,45,95,68.5,The exact catalogue product; almost no review content exists anywhere
aliexpress hiking gear,B_value,10,HIGH,100,,,transactional,100,95,75,95,68.3,Near-zero AU search but a near-empty YouTube results page
insulated sleeping mat,F_mats,320,HIGH,100,0.26,1.68,commercial,90,90,45,65,68.3,R-value intent; maps to the existing R-value guide
naturehike review,J_modifiers,30,HIGH,88,,,commercial,100,90,55,85,68.2,"Rising trend (70 in Aug 2026, the highest month in the series)"
60l hiking backpack,G_packs,140,HIGH,100,0.32,1.02,commercial,95,90,50,70,68.0,Exact size match for the Rock 60+5L
naturehike rock 60,G_packs,30,HIGH,100,0.28,1.25,commercial,100,95,40,95,68.0,Exact catalogue product; minimal review content
cheap hiking tent,D_tents,40,HIGH,100,0.30,1.69,commercial,100,90,70,75,67.9,Merged with 'cheap backpacking tent' (identical planner metrics)
2 person hiking tent,D_tents,590,HIGH,100,0.28,1.14,commercial,85,85,55,55,67.8,Generic but high intent; crowded
hiking pillow,H_accessories,390,HIGH,100,0.27,1.26,commercial,90,85,50,60,67.7,Better intent match than camping pillow for the NIOFEEL pillow
naturehike tent australia,D_tents,40,HIGH,100,0.40,1.18,commercial,100,90,45,90,67.6,Localised brand term; near-empty AU content field
hiking backpack australia,G_packs,210,HIGH,100,0.33,1.59,commercial,90,90,50,65,67.5,Strong localised commercial term
naturehike cloud up 2 review,D_tents,40,HIGH,96,,,commercial,95,95,45,85,67.3,"Explicit review intent; one strong existing video (MyLifeOutdoors, 284K)"
cheap down sleeping bag,E_bags,30,HIGH,100,0.12,0.77,commercial,100,90,65,80,67.3,Exact match for the 400 g down envelope bag
naturehike mongar 2,D_tents,480,HIGH,0,0.35,1.31,commercial,55,55,45,75,67.1,Strong demand for a model NOT in the catalogue; sourcing signal
bisinna tent,D_tents,20,HIGH,100,,,commercial,100,95,35,100,67.0,No credible review content anywhere; total content vacuum
budget backpacking gear,B_value,10,UNKNOWN,0,,,commercial,95,80,80,75,66.8,Low AU search but the dominant YouTube browse phrase
cheap sleeping mat,F_mats,30,HIGH,92,,,commercial,100,90,60,75,66.8,Covers both the foil foam pad and the TuYe
best hiking backpack australia,G_packs,110,HIGH,100,0.27,0.99,commercial,90,90,55,70,66.8,Listicle intent
naturehike mat,F_mats,30,HIGH,100,0.16,0.55,commercial,100,95,40,85,66.5,Close variant of naturehike sleeping mat
best hiking tent australia,D_tents,140,HIGH,100,0.14,1.36,commercial,90,85,60,65,66.3,Listicle intent; strong affiliate proximity
best budget hiking tent australia,D_tents,20,HIGH,100,,,commercial,100,90,60,85,66.3,Highest-fit AU commercial phrase in the tent cluster
best budget sleeping bag australia,E_bags,20,HIGH,100,,,commercial,100,90,60,85,66.3,Ideal AU listicle target
cheap backpacking gear,B_value,10,UNKNOWN,0,,,commercial,95,80,70,75,65.8,US phrasing; low AU volume
kathmandu vs macpac,C_retail,170,MEDIUM,43,,,commercial,65,50,75,85,65.1,Genuine comparison intent at only medium paid competition
naturehike cloud up 3,D_tents,170,HIGH,0,0.35,1.01,commercial,60,60,45,70,65.1,Not in catalogue
cheap hiking pack,B_value,90,HIGH,100,0.29,0.87,commercial,90,85,60,65,64.9,Discovered via keyword ideas; direct pack-page match
hiking cookware,H_accessories,70,HIGH,100,0.27,1.36,commercial,95,85,50,70,64.9,Direct match for the Widesea set
best sleeping mat australia,F_mats,40,HIGH,100,0.24,1.97,commercial,95,90,55,70,64.6,High bid ceiling; listicle intent
hiking tent australia,D_tents,140,HIGH,100,0.29,1.31,commercial,90,85,50,60,64.5,Localised category term
bisinna sleeping bag,E_bags,10,HIGH,100,,,commercial,100,95,30,100,64.5,Content vacuum; Starter kit component
naturehike tuye,F_mats,10,HIGH,100,,,commercial,100,95,30,100,64.5,Exact catalogue product; effectively no review content exists
bisinna backpack,G_packs,10,HIGH,100,,,commercial,100,95,30,100,64.5,Content vacuum
backpack rain cover,H_accessories,720,HIGH,100,0.37,1.25,commercial,75,80,45,55,64.4,Strong volume; low-value product so affiliate revenue per click is small
naturehike cloud up review,D_tents,10,HIGH,96,,,commercial,100,95,45,85,64.2,Close variant of the cloud up 2 review query
budget down sleeping bag,E_bags,10,HIGH,100,,,commercial,100,90,60,80,63.5,Close variant
cheap hiking sleeping bag,E_bags,10,HIGH,100,,,commercial,100,90,60,80,63.5,Close variant
overnight hiking checklist,A_beginner,70,MEDIUM,38,0.03,0.16,informational,90,40,65,75,63.3,Best beginner-cluster mix of intent fit and low competition
aliexpress camping gear,B_value,10,HIGH,87,0.26,1.76,transactional,85,85,70,90,63.3,"Same gap as above, camping-skewed"
budget hiking tent,D_tents,10,HIGH,100,0.35,0.83,commercial,100,90,65,75,63.3,Close variant
naturehike cw400,E_bags,70,HIGH,0,0.31,0.96,commercial,60,60,35,80,62.9,Model-level demand for a bag not in the catalogue; sourcing signal
overland track gear list,A_beginner,50,LOW,15,0.06,0.76,informational,70,45,60,85,62.6,Named AU trail; low competition; strong localisation proof
goose down sleeping bag,E_bags,90,HIGH,100,0.22,1.10,commercial,90,85,45,60,62.6,Clear AU winter seasonality (170 in May and Jun 2026)
anaconda vs kathmandu,C_retail,20,LOW,2,,,commercial,65,45,70,90,61.8,Competition index 2; almost nobody is targeting this
hiking sleeping bag australia,E_bags,20,HIGH,100,0.34,1.93,commercial,95,90,45,70,61.5,Highest bid ceiling in the sleep cluster
naturehike stove,H_accessories,110,HIGH,0,0.21,0.76,commercial,50,55,40,75,61.0,Demand for a category Bush Gums does not stock; sourcing signal
multi day hike australia,A_beginner,260,LOW,30,0.46,1.87,informational,55,35,70,75,60.7,Low paid competition and strong AU intent; trail-led entry point to gear
first overnight hike,A_beginner,10,LOW,0,,,informational,95,30,60,80,60.5,"Tiny search volume; strong video topic, weak SEO target"
macpac tent,C_retail,880,HIGH,100,0.23,1.47,commercial,60,55,55,70,60.3,Largest AU retailer-brand tent term; comparison anchor
beginner hiking gear,A_beginner,40,HIGH,95,0.15,1.03,commercial,95,65,70,60,60.1,Merged with 'hiking gear for beginners' (identical planner metrics)
hiking gear under 500,B_value,0,UNKNOWN,0,,,commercial,95,80,80,80,60.0,"No measurable AU demand; excellent video title, poor SEO target"
lightweight sleeping bag australia,E_bags,30,HIGH,100,0.34,1.24,commercial,90,85,45,65,60.0,Localised
overnight hiking gear,A_beginner,40,HIGH,100,0.16,0.73,commercial,95,70,60,60,59.6,Core Bush Gums proposition phrase
widesea cookware,H_accessories,0,UNKNOWN,0,,,commercial,95,90,25,100,59.5,"No measurable AU brand demand; cover inside a cook-system video, not a page"
kathmandu hiking tent,C_retail,90,HIGH,100,0.18,0.95,commercial,75,65,60,75,59.4,Direct price-anchor target for the comparison page
camping pillow,H_accessories,1900,HIGH,100,0.21,1.05,commercial,55,70,45,40,59.2,"Highest raw volume of any catalogue-adjacent term, but mostly car-camping intent"
how much does hiking gear cost,A_beginner,10,UNKNOWN,0,,,informational,90,40,75,85,58.8,"Tiny volume, but the exact question Bush Gums answers best"
sleeping mat australia,F_mats,10,HIGH,67,,,commercial,90,85,40,60,58.8,Close variant
ultralight backpack australia,G_packs,170,HIGH,100,0.41,2.73,commercial,65,80,45,60,58.6,Highest top-of-page bid ceiling in the study (2.73 AUD)
affordable hiking gear,B_value,10,HIGH,100,,,commercial,95,80,55,70,58.5,Close variant of cheap hiking gear
hiking equipment australia,A_beginner,320,HIGH,100,0.33,1.74,commercial,70,70,35,55,57.8,Broad AU category head term dominated by Anaconda/Kathmandu/Macpac retail
hiking gear list,A_beginner,110,HIGH,85,0.03,1.14,informational,80,45,70,60,57.3,Global phrasing; an AU-specific list is the differentiator
ultralight tent australia,D_tents,90,HIGH,100,0.34,1.41,commercial,70,75,45,60,56.6,Adjacent audience
cheap ultralight gear,B_value,10,UNKNOWN,0,,,commercial,70,70,55,70,56.5,Marginal
budget ultralight gear,B_value,10,UNKNOWN,0,,,commercial,70,70,55,70,56.5,Marginal
ultralight hiking gear australia,B_value,50,HIGH,100,0.48,1.88,commercial,70,80,50,60,56.3,Highest bids in the value cluster; adjacent rather than core audience
hiking pack weight,A_beginner,40,LOW,1,,,informational,60,25,65,70,55.5,Very low competition; supports the pack-weight Short format
camping cookware australia,H_accessories,40,HIGH,100,0.21,0.92,commercial,75,75,45,60,55.1,Camping-skewed
cheap hiking setup,B_value,0,UNKNOWN,0,,,commercial,90,75,65,70,55.0,No measurable AU demand
kathmandu hiking gear,C_retail,30,HIGH,81,0.05,0.97,commercial,70,55,60,75,54.9,Comparison anchor
chinese hiking gear,B_value,0,UNKNOWN,0,,,informational,90,50,75,95,54.8,"No measurable AU search demand; treat as a video angle, never a page target"
kmart camping gear,B_value,1000,HIGH,90,0.03,0.99,commercial,40,25,85,70,54.7,Largest AU cheap-gear demand signal; no Bush Gums affiliate path to Kmart
anaconda hiking gear,C_retail,40,HIGH,100,0.05,0.30,commercial,70,55,60,75,53.9,Low bids; Anaconda already buys YouTube pre-roll on these queries
hiking starter kit,A_beginner,10,HIGH,100,,,commercial,90,70,45,60,53.0,Matches /starter-kits directly
ultralight cookware,H_accessories,10,HIGH,100,,,commercial,80,75,45,65,52.8,Marginal
best value hiking gear,B_value,0,UNKNOWN,0,,,commercial,90,75,50,60,52.0,No measurable AU demand
hiking gear comparison australia,C_retail,0,UNKNOWN,0,,,commercial,85,70,45,70,51.0,No measurable AU demand; the concept lives in the retailer comparison page
larapinta trail gear list,A_beginner,10,LOW,4,,,informational,50,35,45,80,50.6,Niche AU trail; only worth it if the trip actually happens
backpacking gear australia,A_beginner,10,HIGH,100,,,commercial,85,65,40,60,50.5,Low volume but an exact positioning match
lightweight tent australia,D_tents,10,HIGH,100,,,commercial,75,75,40,55,49.8,Marginal
how to make backpack lighter,A_beginner,10,LOW,0,,,informational,55,20,65,65,48.8,"Short-form friendly, near-zero search value"
hiking gear sydney,J_modifiers,390,HIGH,95,0.23,1.21,local,45,50,35,45,48.5,Local retail intent; Bush Gums has no physical presence to satisfy it
hiking essentials australia,A_beginner,20,HIGH,100,0.16,0.97,commercial,75,55,45,55,48.3,Low volume; fold into the checklist page
cheap camping gear australia,B_value,20,HIGH,100,0.09,4.64,commercial,55,60,60,65,48.3,Very wide bid range; camping rather than hiking intent
hiking gear online australia,J_modifiers,10,HIGH,95,,,transactional,70,75,30,50,47.5,Retail navigational intent
macpac hiking gear,C_retail,0,UNKNOWN,0,,,commercial,70,55,55,70,46.0,No measurable AU demand as a standalone phrase
hiking gear reddit australia,J_modifiers,0,UNKNOWN,0,,,informational,80,40,50,70,44.5,No measurable AU demand
budget camping gear,B_value,10,HIGH,86,,,commercial,55,50,60,55,44.2,Camping not hiking; low priority
hiking gear melbourne,J_modifiers,90,HIGH,100,0.23,0.80,local,45,50,35,45,43.4,Same limitation as Sydney
aldi hiking gear,B_value,40,HIGH,74,,,commercial,35,15,70,70,41.7,Sharply seasonal AU spikes (140 in Jul 2026); no affiliate path
tasmania hiking gear,J_modifiers,0,UNKNOWN,0,,,local,55,40,50,70,39.5,No measurable AU demand as a phrase; Tasmania still matters as trip content
overnight hike australia,A_beginner,0,UNKNOWN,0,,,informational,70,30,50,60,39.0,No measurable AU demand in the planner
hiking stove australia,H_accessories,10,HIGH,100,,,commercial,40,50,40,60,38.5,Bush Gums has no stove in the catalogue; do not build content around this
how to choose hiking gear,A_beginner,0,UNKNOWN,0,,,informational,60,25,40,50,33.5,No measurable AU demand; do not build a page for this
decathlon hiking australia,J_modifiers,0,UNKNOWN,0,,,commercial,40,35,45,60,33.5,No measurable AU demand
hiking gear sale australia,B_value,0,UNKNOWN,0,,,transactional,40,60,20,30,31.5,No measurable AU demand
